# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
T48	5.019044e-05
T49	1.920325e-04
T50	2.598647e-17
T51	2.323183e-20
T52	1.280207e-28
T53	2.979961e-03
T54	7.436549e+07
T55	7.447544e+08
T56	9.065439e+07
T57	2.847529e-61
T58	6.477974e-23
T59	1.765578e-21
T60	2.634043e-36
T91	3.183109e-08
T92	1.315336e-14
T93	2.809549e-20
