# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
P47	2.568292e+09
P48	4.906797e+07
P49	3.785602e+05
P50	6.335105e+01
P51	1.582540e+06
P52	4.753131e+09
P53	2.007526e+07
P54	1.164997e+07
P56	1.373261e+06
P57	2.224171e+03
P58	8.617933e+04
P59	1.077242e+05
P60	2.154483e+04
P61	3.788459e+01
P62	2.327498e+04
P63	5.153745e+04
P64	4.488746e+04
P65	3.657496e+04
P66	9.974990e+03
P67	7.540406e+09
P68	9.200129e+09
P69	2.731224e+08
P70	2.420172e+04
P71	6.129852e+06
T1	1.163801e-19
T2	5.618874e-27
T3	1.843575e-27
T4	1.854830e-17
T5	2.905512e-54
T6	1.612852e-15
T7	5.987060e-34
T8	7.928521e-22
T9	1.856287e-31
T10	5.803248e-32
T11	1.247408e-31
T12	1.383406e-23
T13	2.546205e-23
T14	4.763584e-28
T15	1.564901e-38
T16	3.361438e-27
T17	8.579498e+03
T18	7.532541e-08
T19	4.315981e-29
T20	1.218113e-27
T21	6.220548e-43
T22	2.587084e-44
T23	1.138997e-27
T24	4.587650e-31
T25	3.033755e-15
T26	1.378919e-32
T27	3.120317e-08
T28	2.256612e-46
T29	7.786835e-50
T30	1.110430e-29
T31	2.953887e-08
T32	4.183111e+03
T33	5.354952e-41
T34	1.533270e-45
T35	6.018306e-46
T36	3.213018e-06
T37	3.202617e-08
T38	1.161852e-04
T40	2.608355e-32
T41	1.491703e-53
T42	3.921512e-22
T43	1.634591e+04
T44	4.425151e-03
T46	1.817867e+09
T47	1.850406e-02
T48	2.566497e-05
T49	1.115271e-04
T50	9.571887e-17
T51	5.284792e-20
T52	2.799254e-21
T53	1.038416e-02
T54	2.331588e+08
T55	2.335133e+09
T56	2.822268e+08
T57	5.062593e-66
T58	1.700180e-25
T59	4.349144e-24
T60	1.391044e-34
T91	2.763119e-06
T92	6.006451e-16
T93	4.267347e-22
