# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
T4	1.021615e-20
T5	2.673431e-43
T6	1.314543e-04
T7	1.173551e-08
T8	2.916064e-19
T9	1.106929e-24
T10	4.395290e-23
T11	9.369076e-23
T12	1.271631e-08
T13	5.695246e-07
T14	1.612465e-28
T15	1.513007e-39
T16	2.806886e-28
T17	5.169146e+02
T18	4.590410e-09
T19	2.975229e-27
T20	8.397079e-26
T21	4.288146e-41
T22	1.783411e-42
T23	3.863980e-25
T24	1.556043e-28
T25	3.065363e-26
T26	3.162983e-39
T27	5.512239e-07
T28	8.047282e-47
T29	6.019787e-53
T30	7.728678e-30
T31	5.206483e-10
T32	2.735008e+02
T33	1.271945e-38
T34	3.640803e-43
T35	1.428983e-43
T36	2.135223e-03
T37	1.893924e-05
T38	4.984458e-02
T40	9.581469e-31
T41	1.885330e-51
T42	1.482490e-22
T43	1.544945e+08
T44	4.047404e+01
T46	8.475776e+08
T47	7.678828e+01
T48	4.224371e-06
T49	1.838213e-05
T50	1.349783e-09
T51	7.518082e-13
T52	1.079452e-08
T53	1.078420e+00
T54	1.712229e+08
T55	1.712529e+09
T56	2.052138e+08
T57	3.633783e-68
T58	5.693762e-27
T59	1.456574e-25
T60	4.033523e-42
T91	1.338210e-10
T92	2.252194e-17
T93	1.574539e-23
